TIME,V(XTOP:B),V(XTOP:XDUT:I_1),V(XTOP:VPWR),V(XTOP:XDUT:I_2),V(XTOP:XDUT:I_0),V(XTOP:X),V(XTOP:A),V(XTOP:XDUT:I_3),I(XTOP:VB_DRIVER),I(XTOP:VA_DRIVER),I(XTOP:CFAKE_LOAD),I(XTOP:VPOWER)
1.97852186e-10,1.80000000e+00,2.31440767e+00,1.80000000e+00,9.62025192e-01,7.76679030e-06,2.38069961e-03,1.80000000e+00,1.20258398e-03,1.10017098e-07,1.23728329e-07,3.03942223e-07,-3.08253907e-07
2.29164885e-10,1.80000000e+00,2.30339205e+00,1.80000000e+00,9.42885531e-01,3.55733013e-05,1.62889160e-03,1.80000000e+00,8.22525739e-04,-6.41589633e-07,-6.07921170e-07,-3.99980957e-07,-6.00406267e-07
2.91790284e-10,1.80000000e+00,2.28671561e+00,1.80000000e+00,9.17046209e-01,3.85916055e-05,9.19681786e-04,1.80000000e+00,4.61435726e-04,2.66117911e-07,2.75252718e-07,3.54682415e-07,-2.82984926e-08
3.54415683e-10,1.80000000e+00,2.27447966e+00,1.80000000e+00,8.99912224e-01,3.88207850e-05,6.62372978e-04,1.80000000e+00,3.33044831e-04,-5.20421335e-07,-4.94146607e-07,-3.71117204e-07,-4.00915753e-07
4.54415683e-10,1.80000000e+00,2.25960498e+00,1.80000000e+00,8.80302431e-01,2.77290874e-05,4.27718317e-04,1.80000000e+00,2.14009112e-04,3.37794383e-07,3.38993485e-07,3.61731018e-07,8.65021035e-08
5.54415683e-10,1.80000000e+00,2.24828870e+00,1.80000000e+00,8.66033048e-01,2.70593449e-05,3.30099044e-04,1.80000000e+00,1.65715889e-04,-4.67659799e-07,-4.47533521e-07,-3.65635789e-07,-3.19539627e-07
6.00000000e-10,1.80000000e+00,2.24391783e+00,1.80000000e+00,8.60640004e-01,2.02408348e-05,2.88574080e-04,1.80000000e+00,1.44411592e-04,3.60209236e-07,3.57804006e-07,3.61991995e-07,1.24208230e-07
6.01382803e-10,1.80000000e+00,2.23347914e+00,1.80000000e+00,8.54909442e-01,-5.07085082e-03,-8.07416837e-03,1.75021909e+00,-9.16913565e-03,-8.10100996e-06,1.17668763e-04,-1.20953496e-05,-5.46402767e-05
6.02477322e-10,1.80000000e+00,2.22466247e+00,1.80000000e+00,8.51007464e-01,-7.22354998e-03,-1.39741566e-02,1.71081641e+00,-1.35433938e-02,-6.20075141e-06,1.20029401e-04,-1.07809704e-05,-5.37329910e-05
6.03571841e-10,1.80000000e+00,2.21526471e+00,1.80000000e+00,8.47258011e-01,-8.74977657e-03,-1.96122524e-02,1.67141373e+00,-1.72743589e-02,-5.29926006e-06,1.21188844e-04,-9.82386488e-06,-5.26428690e-05
6.05760879e-10,1.80000000e+00,2.19466905e+00,1.80000000e+00,8.40193704e-01,-9.80116966e-03,-2.88320034e-02,1.59260836e+00,-2.20592973e-02,-4.41791625e-06,1.22341202e-04,-7.02326405e-06,-5.18908641e-05
6.10138955e-10,1.80000000e+00,2.14590723e+00,1.80000000e+00,8.24701647e-01,-1.05047861e-02,-4.13373206e-02,1.43499763e+00,-2.76502052e-02,-4.16909089e-06,1.22939778e-04,-4.40213625e-06,-5.13131574e-05
6.14517030e-10,1.80000000e+00,2.08640037e+00,1.80000000e+00,8.03295970e-01,-1.17173089e-02,-4.93433166e-02,1.27738690e+00,-2.99529682e-02,-3.44542125e-06,1.24470464e-04,-2.91248898e-06,-5.22302755e-05
6.18895106e-10,1.80000000e+00,2.01490329e+00,1.80000000e+00,7.69328131e-01,-1.36596928e-02,-5.57061846e-02,1.11977617e+00,-3.02026689e-02,-3.49490595e-06,1.27660314e-04,-2.90090324e-06,-5.50131571e-05
6.23273182e-10,1.80000000e+00,1.92916629e+00,1.80000000e+00,7.19528090e-01,-1.58315702e-02,-6.26743069e-02,9.62165443e-01,-2.86652360e-02,-3.04625767e-06,1.32803247e-04,-3.46547550e-06,-6.08109566e-05
6.27651258e-10,1.80000000e+00,1.82163174e+00,1.80000000e+00,6.72508969e-01,-1.67806695e-02,-7.29220551e-02,8.04554713e-01,-2.46016998e-02,-2.64935173e-06,1.40675856e-04,-5.89731184e-06,-7.28776575e-05
6.32029334e-10,1.80000000e+00,1.74337794e+00,1.80000000e+00,6.72971519e-01,-1.44698783e-02,-8.78180366e-02,6.46943983e-01,-1.68798788e-02,1.57927367e-06,1.44855364e-04,-7.71230298e-06,-8.94465093e-05
6.35661028e-10,1.80000000e+00,1.69805094e+00,1.80000000e+00,7.37323447e-01,-8.25180129e-03,-1.02244409e-01,5.16202981e-01,-1.02843017e-02,2.11021371e-06,1.38006721e-04,-8.17710909e-06,-9.48211025e-05
6.38929553e-10,1.80000000e+00,1.67351018e+00,1.80000000e+00,8.45604756e-01,1.18131971e-03,-1.16976180e-01,3.98536080e-01,-8.33735949e-03,4.88055381e-06,1.41173016e-04,-9.85153761e-06,-1.09692665e-04
6.42198078e-10,1.80000000e+00,1.66454174e+00,1.80000000e+00,9.85275449e-01,1.30485198e-02,-1.35125454e-01,2.80869179e-01,-7.12378457e-03,5.39381616e-06,1.38813842e-04,-1.23594280e-05,-1.17936248e-04
6.45466603e-10,1.80000000e+00,1.66687004e+00,1.80000000e+00,1.13628012e+00,2.46950097e-02,-1.52763693e-01,1.63202277e-01,-6.57311823e-03,5.70217058e-06,1.44112363e-04,-9.22613507e-06,-1.35779970e-04
6.48735128e-10,1.80000000e+00,1.67586315e+00,1.80000000e+00,1.26860414e+00,2.85892697e-02,-1.58731702e-01,4.55353760e-02,-6.27695212e-03,2.17203199e-06,1.45708491e-04,1.92252296e-06,-1.48458006e-04
6.50000000e-10,1.80000000e+00,1.68016324e+00,1.80000000e+00,1.30787523e+00,2.70175256e-02,-1.55689142e-01,2.44249065e-15,-6.19745274e-03,1.67636878e-06,1.52280441e-04,7.69919692e-06,-1.57854555e-04
6.50326853e-10,1.80000000e+00,1.68723055e+00,1.80000000e+00,1.32079623e+00,2.81548548e-02,-1.53760797e-01,0.00000000e+00,-4.36698670e-03,9.03809013e-06,2.46293062e-05,1.17994830e-05,-7.39652082e-05
6.50613127e-10,1.80000000e+00,1.69299007e+00,1.80000000e+00,1.33128214e+00,2.88411778e-02,-1.51879811e-01,0.00000000e+00,-3.20957277e-03,7.30026333e-06,2.26729113e-05,1.31411220e-05,-7.31284477e-05
6.51185677e-10,1.80000000e+00,1.70388393e+00,1.80000000e+00,1.35073361e+00,2.97305356e-02,-1.47705293e-01,0.00000000e+00,-1.51580014e-03,4.91791013e-06,2.12830490e-05,1.60232876e-05,-7.35409556e-05
6.52330776e-10,1.80000000e+00,1.72248283e+00,1.80000000e+00,1.38266688e+00,2.95224939e-02,-1.37073081e-01,0.00000000e+00,-2.85617135e-04,2.53850270e-06,1.80631424e-05,2.11165958e-05,-7.32923424e-05
6.53475875e-10,1.80000000e+00,1.73747762e+00,1.80000000e+00,1.40728398e+00,2.77043126e-02,-1.23658210e-01,0.00000000e+00,-1.04078906e-04,1.18342088e-06,1.58433137e-05,2.57435230e-05,-7.27627603e-05
6.54620975e-10,1.80000000e+00,1.74957047e+00,1.80000000e+00,1.42645972e+00,2.51900298e-02,-1.07801708e-01,0.00000000e+00,-7.72993284e-05,6.46743886e-07,1.34601041e-05,2.96455687e-05,-7.17806241e-05
6.56911173e-10,1.80000000e+00,1.76734653e+00,1.80000000e+00,1.45370951e+00,1.99449529e-02,-7.01771443e-02,0.00000000e+00,-6.18185206e-05,-1.12613115e-07,1.05161792e-05,3.60685007e-05,-7.00794507e-05
6.61491570e-10,1.80000000e+00,1.78689982e+00,1.80000000e+00,1.48303115e+00,1.21200536e-02,2.13788992e-02,0.00000000e+00,-4.71084399e-07,-9.96112521e-08,6.49604940e-06,4.38861823e-05,-6.68504512e-05
6.66071966e-10,1.80000000e+00,1.79475620e+00,1.80000000e+00,1.49584949e+00,8.31100874e-03,1.25356852e-01,0.00000000e+00,-3.76535388e-06,-1.16609624e-07,5.31485783e-06,4.69163900e-05,-6.49946730e-05
