TIME,V(XTOP:P),V(XTOP:IN),V(XTOP:VPWR),V(XTOP:X),I(XTOP:VIN_DRIVER),I(XTOP:CLOADP),I(XTOP:CLOADX),I(XTOP:VPOWER)
6.71678553e-10,7.58792307e-01,0.00000000e+00,1.80000000e+00,1.91591290e+00,4.19361469e-06,5.03662850e-05,2.80498271e-06,-7.63974287e-05
6.78904738e-10,9.31360600e-01,0.00000000e+00,1.80000000e+00,1.89150932e+00,3.79968122e-06,4.51575949e-05,-1.63134037e-05,-7.89398763e-05
6.79974980e-10,9.55082634e-01,0.00000000e+00,1.80000000e+00,1.88075822e+00,3.75503206e-06,4.43302206e-05,-2.00909623e-05,-7.93159240e-05
6.81045222e-10,9.78687811e-01,0.00000000e+00,1.80000000e+00,1.86882497e+00,3.75618234e-06,4.38934674e-05,-2.45092251e-05,-7.96023223e-05
6.83185706e-10,1.02501150e+00,0.00000000e+00,1.80000000e+00,1.83785161e+00,3.68645783e-06,4.26732853e-05,-3.33718197e-05,-7.95899576e-05
6.85326190e-10,1.07097547e+00,0.00000000e+00,1.80000000e+00,1.79635868e+00,3.83735497e-06,4.32212314e-05,-4.41675055e-05,-8.01339354e-05
6.87466674e-10,1.11551157e+00,0.00000000e+00,1.80000000e+00,1.74774782e+00,3.65924447e-06,4.00049837e-05,-4.66733614e-05,-8.37554017e-05
6.91747643e-10,1.20475257e+00,0.00000000e+00,1.80000000e+00,1.60800523e+00,4.44032376e-06,4.33789606e-05,-8.38976471e-05,-7.11788238e-05
6.95361969e-10,1.27359972e+00,0.00000000e+00,1.80000000e+00,1.45877192e+00,4.22608694e-06,3.28146562e-05,-8.12599020e-05,-7.52256526e-05
6.98976295e-10,1.33517468e+00,0.00000000e+00,1.80000000e+00,1.28644417e+00,5.20497154e-06,3.53307828e-05,-1.09456413e-04,-6.27438787e-05
7.02590621e-10,1.38927429e+00,0.00000000e+00,1.80000000e+00,1.09525496e+00,4.83811599e-06,2.45416278e-05,-1.02134029e-04,-6.55466288e-05
7.06204948e-10,1.43667210e+00,0.00000000e+00,1.80000000e+00,8.90020446e-01,5.44128455e-06,2.79138667e-05,-1.25000437e-04,-5.33525544e-05
7.09819274e-10,1.47790371e+00,0.00000000e+00,1.80000000e+00,6.75931745e-01,4.59448338e-06,1.77174403e-05,-1.11933023e-04,-5.58948570e-05
7.13433600e-10,1.51365875e+00,0.00000000e+00,1.80000000e+00,4.61844382e-01,4.87495060e-06,2.18529152e-05,-1.24998956e-04,-4.44877704e-05
7.17047926e-10,1.54278614e+00,0.00000000e+00,1.80000000e+00,2.75413370e-01,3.31900821e-06,1.03825737e-05,-8.13255467e-05,-4.70212499e-05
7.20300820e-10,1.56601983e+00,0.00000000e+00,1.80000000e+00,1.55249113e-01,4.26487673e-06,1.81872902e-05,-6.64373667e-05,-3.53580396e-05
7.23137858e-10,1.58652706e+00,0.00000000e+00,1.80000000e+00,8.94094009e-02,3.65884221e-06,1.07262922e-05,-2.63914192e-05,-3.72468367e-05
7.25974897e-10,1.60729261e+00,0.00000000e+00,1.80000000e+00,5.04650192e-02,4.59130355e-06,1.85514845e-05,-2.85170787e-05,-2.72783709e-05
7.28811935e-10,1.62735437e+00,0.00000000e+00,1.80000000e+00,2.86767586e-02,3.57791258e-06,9.73401679e-06,-2.20264537e-06,-2.96012295e-05
7.31648974e-10,1.64630220e+00,0.00000000e+00,1.80000000e+00,1.69174968e-02,4.31147065e-06,1.69809228e-05,-1.43769837e-05,-2.10982290e-05
7.37323051e-10,1.67934328e+00,0.00000000e+00,1.80000000e+00,6.62549590e-03,2.75017205e-06,6.31172945e-06,7.12153003e-06,-2.13654901e-05
7.42997128e-10,1.70614687e+00,0.00000000e+00,1.80000000e+00,3.85073654e-03,3.13933791e-06,1.25837455e-05,-9.07762565e-06,-1.22038405e-05
7.48671205e-10,1.72720871e+00,0.00000000e+00,1.80000000e+00,2.71378285e-03,1.57974297e-06,2.26401895e-06,8.27611826e-06,-1.40493884e-05
7.54345282e-10,1.74375778e+00,0.00000000e+00,1.80000000e+00,2.05878959e-03,2.18327581e-06,9.40241954e-06,-8.73786260e-06,-6.59766609e-06
7.65693437e-10,1.76676662e+00,0.00000000e+00,1.80000000e+00,1.17987835e-03,4.68690191e-07,-1.29226025e-06,8.42806377e-06,-7.77733094e-06
7.77041591e-10,1.78051751e+00,0.00000000e+00,1.80000000e+00,7.04832172e-04,1.13638807e-06,6.13917743e-06,-8.59550815e-06,-8.33353307e-07
7.88389745e-10,1.78854944e+00,0.00000000e+00,1.80000000e+00,3.98092498e-04,-1.93036865e-07,-3.30807874e-06,8.48738848e-06,-4.19882820e-06
