sub_dir,.param cbn,.param cbp,D0,D1,D2,D3
run_600_740,600m,740m,5.919918e-11,2.312312e-10,5.919918e-11,2.312312e-10
run_420_440,420m,440m,7.908085e-11,3.558130e-10,7.908085e-11,3.558131e-10
run_630_640,630m,640m,5.649299e-11,2.406559e-10,5.649299e-11,2.406560e-10
run_630_1000,630m,1000m,5.858187e-11,2.031687e-10,5.858187e-11,2.031687e-10
run_570_580,570m,580m,6.083888e-11,2.619231e-10,6.083888e-11,2.619232e-10
run_520_600,520m,600m,6.319294e-11,2.648389e-10,6.424244e-11,2.610163e-10
run_510_960,510m,960m,6.777484e-11,2.217292e-10,6.777484e-11,2.217292e-10
run_570_820,570m,820m,6.245200e-11,2.279774e-10,6.245200e-11,2.279774e-10
run_500_780,500m,780m,6.796337e-11,2.420566e-10,6.796338e-11,2.420566e-10
run_660_500,660m,500m,5.181362e-11,2.651343e-10,5.181362e-11,2.651345e-10
run_520_740,520m,740m,6.408184e-11,2.355518e-10,6.493894e-11,2.371543e-10
run_550_980,550m,980m,6.855089e-11,2.217173e-10,6.855089e-11,2.217173e-10
run_600_880,600m,880m,6.006554e-11,2.169477e-10,6.006555e-11,2.169477e-10
run_600_460,600m,460m,5.735571e-11,2.953548e-10,5.735571e-11,2.953552e-10
run_600_840,600m,840m,5.981516e-11,2.201332e-10,5.981516e-11,2.201332e-10
run_450_960,450m,960m,7.737890e-11,2.369832e-10,7.737890e-11,2.369832e-10
run_460_840,460m,840m,7.470149e-11,2.453885e-10,7.470149e-11,2.453885e-10
run_620_860,620m,860m,5.802024e-11,2.150947e-10,5.802024e-11,2.150947e-10
run_620_680,620m,680m,5.691059e-11,2.346163e-10,5.691060e-11,2.346163e-10
run_430_540,430m,540m,7.696628e-11,3.055371e-10,7.797567e-11,3.019360e-10
run_520_980,520m,980m,6.654613e-11,2.180003e-10,6.654613e-11,2.180003e-10
run_430_1000,430m,1000m,8.160041e-11,2.411589e-10,8.160041e-11,2.411590e-10
run_640_620,640m,620m,5.627869e-11,2.444572e-10,5.627869e-11,2.444572e-10
